State.Conservation.Rank,Breeding.Rank,Non.Breeding Rank
S5,5,5
S4,4,4
S2S3,2,2
"S3B,S1N",3,1
SNA,NA,NA
S3,3,3
S1S2,1,1
S3S4,3,3
SNRN,NA,NA
SH,NA,NA
S1,1,1
S5B,5,NA
S4B,4,NA
"S2S3B,SNRN",2,NA
"S3B,SNRN",3,NA
S3B,3,NA
"S3S4B,S3N",3,3
"S3B,S3N",3,3
"S2S3B,S2N",2,2
S3S4B,3,NA
S1B,1,NA
S2?B,2,NA
S2B,2,NA
S3?B,3,NA
SU,NA,NA
S1S3,1,1
S2S4,2,2
S2?,2,2
S2S3B,2,NA
S2,2,2
S4S5,4,4
SX,NA,NA
S1N,NA,1
S1?,1,1
S3?,3,3
S3S4N,NA,3
"SNAB,S3N",NA,3
SNAB,NA,NA
SNR,NA,NA
"SHB,S1N",NA,1
SNRB,NA,NA
S2S3M,NA,2
"S1B,S3?N",1,3